label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
C,1.6,2.6,0.624,0,0,2.6,0.624,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9
C,7.8,13.6,0.57,0.2,0.1,13.4,0.576,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,2,16.7
PG,1.6,4,0.394,1.4,0.368,2.6,0.408,1,0.822,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.5
PG,1.5,3.7,0.393,1.2,0.368,2.5,0.405,0.9,0.828,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.1
PG,1.9,4.7,0.394,2.1,0.367,2.6,0.417,1.1,0.813,0.4,1.5,1.9,2.6,1.4,0.2,0.2,0.7,5.4
PG,5,11.6,0.435,4.6,0.375,7,0.474,2.7,0.836,0.5,2.5,3,6.1,0.8,0.2,1.9,2.1,14
PG,4.8,11,0.442,4.3,0.35,6.6,0.501,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
PG,5.4,12.7,0.424,5.1,0.412,7.6,0.432,2.2,0.797,0.6,2.9,3.5,6,0.6,0.3,2.4,2,14.6
PG,2.6,6,0.435,1.9,0.294,4.1,0.502,1,0.741,0.9,2,2.9,3.6,1.2,0.2,1.2,2.2,6.6
C,4,5.4,0.747,0,0,5.3,0.752,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8
PG,3.2,6.9,0.461,1.7,0.366,5.2,0.492,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8
PG,9.4,19.2,0.492,6.1,0.364,13,0.552,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1
PG,1.7,4.7,0.352,3.6,0.301,1.1,0.52,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6,5
C,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
C,7.7,13,0.594,1.1,0.379,12,0.613,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4
C,2,3.4,0.601,0,1,3.3,0.596,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1
C,3.4,7.3,0.461,3.6,0.359,3.7,0.559,1.4,0.742,1.4,2.3,3.7,1,0.5,0.6,0.8,2.4,9.1
C,1.1,1.7,0.679,0,0.333,1.6,0.689,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3
PG,2.3,5.1,0.447,2.2,0.311,2.9,0.551,0.9,0.642,1,2.9,3.9,2.7,1.4,0.4,1,1.7,5.8
C,0.3,0.7,0.5,0,0,0.7,0.5,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
C,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
C,0.5,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5
PG,0.2,1.8,0.111,1.6,0.125,0.2,0,0.4,1,0.2,1,1.2,0.8,0,0,0.2,0.8,1
PG,5.8,13.9,0.416,8,0.387,5.9,0.454,3.1,0.86,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4
PG,1.4,4.5,0.306,2.5,0.107,1.9,0.571,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0,0.5,1.7,3.1
C,2,3.4,0.603,0.2,0.143,3.1,0.636,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5
C,1,2.2,0.46,0.6,0.214,1.6,0.556,0.6,0.538,0.5,0.8,1.3,0.3,0.1,0.1,0.3,0.7,2.4
C,1.4,2.8,0.5,0.7,0.273,2.1,0.576,0.8,0.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4
C,0.1,0.9,0.167,0.4,0,0.4,0.333,0,0,0,0.6,0.6,0,0.1,0,0,0,0.3
C,0.6,1,0.636,0,0,1,0.636,0.5,0.5,0.9,1.4,2.3,0.6,0.1,0.9,0.7,2.1,1.5
PG,6.2,14.7,0.422,7.1,0.395,7.6,0.448,4,0.841,0.3,4.5,4.8,6.8,0.9,0.2,1.8,2,18.6
C,3.1,4.9,0.644,0,0.333,4.8,0.646,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8
C,2.6,3.9,0.665,0.1,0,3.9,0.677,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3,6.5
PG,0.5,1.7,0.3,0.7,0.5,1,0.167,0,0,0,0,0,0.5,0,0,0,0,1.3
PG,1.5,3.7,0.418,0.2,0.5,3.5,0.413,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
C,5,7.6,0.649,0,0,7.6,0.649,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7
PG,2,5,0.4,1,0,4,0.5,0,0,1,1,2,0,0,0,0,0,4
PG,8.9,18.9,0.471,5.7,0.275,13.2,0.555,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1
C,1.7,2.9,0.598,0.2,0.143,2.7,0.624,1,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1,4
PG,1.5,3.7,0.4,3.1,0.405,0.6,0.375,0,1,0.2,0.9,1.1,3.3,0.8,0.1,0.7,1,4.2
PG,1.6,3.9,0.417,3.2,0.425,0.6,0.375,0.1,1,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7
PG,0,1.5,0,1.5,0,0,0,0,0,0.3,0.5,0.8,1.5,1.5,0,0.3,1,0
PG,0.8,1.8,0.433,0.6,0.182,1.1,0.579,0.5,0.875,0.5,0.7,1.2,0.5,0.6,0.2,0.5,1,2.1
C,5,7.6,0.656,0,0,7.6,0.656,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3,11.1
PG,10.3,21.4,0.479,6.8,0.401,14.6,0.516,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7
PG,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C,5.7,9.2,0.619,0.1,0,9.2,0.623,3,0.79,3.1,8.5,11.6,2.4,0.5,0.8,2.1,3.1,13.8
C,3.8,6.5,0.592,2.4,0.424,4.1,0.689,1.7,0.692,1.8,3.7,5.5,1,0.3,0.6,0.7,2,9.9
PG,8,16.7,0.481,5.8,0.425,10.9,0.51,3.1,0.853,0.7,3.4,4.1,6.5,1,0.7,2.1,1.8,21.2
PG,1.1,3.1,0.357,1,0.111,2.1,0.474,0,0,0.3,1.8,2.1,1.2,0.1,0,1,1.1,2.3
PG,0.8,3.5,0.238,1.3,0,2.2,0.385,0,0,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7
PG,1.7,2.3,0.714,0.3,1,2,0.667,0,0,0.3,2.7,3,1,0.3,0,0.3,2.3,3.7
PG,4.9,11.4,0.428,6.8,0.381,4.6,0.497,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6
C,3,4.8,0.613,0,0,4.8,0.617,1.6,0.706,1.7,3.6,5.3,0.9,0.2,0.6,1,2.2,7.1
C,7.8,17.6,0.444,5.5,0.32,12.1,0.501,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5
C,6.7,10.6,0.634,0.1,0,10.6,0.638,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5
PG,0.9,2.7,0.316,0.4,0,2.3,0.375,0,0,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4,1.7
PG,2.5,5.6,0.444,1.9,0.238,3.7,0.549,1.6,0.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7
PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1.8,2.5,0.72,0.1,0,2.4,0.754,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8,4.3
C,0.5,0.8,0.6,0.5,0.333,0.3,1,0.1,1,0.1,0.5,0.6,0.1,0.1,0.2,0.1,0.5,1.2
C,1.4,3.3,0.417,2.1,0.368,1.2,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4
PG,1.7,3,0.556,1.6,0.474,1.4,0.647,0.3,0.75,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3
C,0.8,1.2,0.691,0,0,1.2,0.691,0.5,0.667,1.2,2,3.3,0.6,0.2,0.4,0.4,1,2
PG,1.9,5.1,0.378,3.3,0.329,1.8,0.466,0.1,0.571,0.2,0.7,0.8,1.3,0.5,0.2,0.5,1,5
C,1.9,3.7,0.515,0.7,0.25,3,0.578,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9
C,11.5,21.8,0.529,3.6,0.388,18.3,0.556,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7
C,4.9,8.8,0.559,1.5,0.308,7.3,0.609,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2
PG,0.7,1.2,0.571,0.5,0.667,0.7,0.5,0.3,1,0,0.3,0.3,0.3,0,0,0.2,0,2
PG,2.5,6.7,0.369,2.5,0.298,4.2,0.411,1,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1,1.3,6.5
PG,1.9,4.8,0.389,2,0.288,2.8,0.46,0.7,0.862,1,1.9,2.9,2,0.6,0.2,0.7,1.1,5
